A̱o,ECO2_CT_Carbon,ECO2_CT_Gas,ECO2_CT_Diesel,ECO2_CT_Fueloil,ECO2_CT_Kerosene,ECO2_CAyC_Bagazo,ECO2_CAyC_Carbon,ECO2_CAyC_Gas,ECO2_CAyC_Petroleo,ECO2_CAyC_Diesel,ECO2_CAyC_Gaslicuado,EmisionCO2_Total,EmisionCO2_SIN_Total,EmisionCO2_CT_Total,EmisionCO2_CAyC_Total,EmisionCO2_Carbon,EmisionesCO2_Gas,EmisionesCO2_Diesel,EmisionesCO2_Fueloil,EmisionesCO2_Petroleo,EmisionesCO2_Gaslicuado,EmisionesCO2_Bagazo
2010,"3660,54","5979,90","296,07","166,10","0,83","1082,25","823,88","2336,66","1045,64","785,12","45,50","16222,49","10272,09","10103,44","6119,05","4484,42","8316,56","1081,19","166,10","1045,64","45,50","1082,25"
2011,"1556,49","4176,20","2,98","131,09","0,00","1275,39","679,38","2282,67","1026,21","796,19","48,00","11974,61","6113,15","5866,76","6107,85","2235,87","6458,87","799,18","131,09","1026,21","48,00","1275,39"
2012,"2502,05","4434,14","129,50","192,15","6,20","1353,65","725,01","2254,00","1042,80","804,29","46,46","13490,24","7531,42","7264,03","6226,21","3227,06","6688,14","933,79","192,15","1042,80","46,46","1353,65"
2013,"4651,73","5748,46","122,69","130,66","7,43","1192,14","522,21","2043,89","758,40","808,12","49,34","16035,07","10898,84","10660,97","5374,10","5173,94","7792,34","930,81","130,66","758,40","49,34","1192,14"
2014,"4953,39","6455,01","98,41","109,74","2,07","1538,46","674,31","2233,39","775,46","833,26","50,50","17723,99","11942,70","11618,61","6105,38","5627,70","8688,40","931,66","109,74","775,46","50,50","1538,46"
2015,"5435,04","6352,98","929,53","520,09","35,52","1565,10","694,59","2169,78","782,57","852,00","49,15","19386,34","13630,55","13273,15","6113,19","6129,63","8522,75","1781,53","520,09","782,57","49,15","1565,10"
2016,"3465,35","5336,86","1216,23","565,35","54,93","1670,00","773,18","2368,97","849,41","924,42","51,26","17275,94","11075,80","10638,71","6637,23","4238,52","7705,82","2140,65","565,35","849,41","51,26","1670,00"
2017,"3465,35","3526,66","5,96","52,95","0,00","1625,04","775,71","2547,10","902,97","982,78","58,94","13943,46","7533,37","7050,91","6892,55","4241,06","6073,76","988,75","52,95","902,97","58,94","1625,04"
2018,"3465,35","4302,59","11,78","127,67","0,00","1661,67","780,78","2687,33","915,77","996,84","57,79","15007,57","8425,64","7907,39","7100,18","4246,13","6989,92","1008,62","127,67","915,77","57,79","1661,67"
2019,"6882,53","4145,29","17,89","40,57","0,00","2082,92","892,32","3062,02","979,28","1065,85","58,94","19227,61","11627,58","11086,27","8141,34","7774,85","7207,31","1083,74","40,57","979,28","58,94","2082,92"
2020,"7813,53","4941,47","11,09","19,84","0,00","2505,01","810,43","2784,49","943,77","1027,36","59,63","20916,61","13374,40","12785,93","8130,68","8623,96","7725,96","1038,44","19,84","943,77","59,63","2505,01"
