A̱o,C_Residencial_U,C_Residencia_R,C_Residencial_Total,C_CyP_Total,C_Ind_Alimentos,C_Ind_Bebidas,C_Ind_Tabaco,C_Ind_Textil,C_Ind_Vestimenta,C_Ind_Marroquineria,C_Ind_Madera,C_Ind_Papel,C_Ind_Impresion,C_Ind_Refinerias,C_Ind_Quimicos,C_Ind_Farmaceuticos,C_Ind_Plastico,C_Ind_Minerales,C_Ind_Metalurgia,C_Ind_Metal,C_Ind_Electronico,C_Ind_Electrico,C_Ind_Maquinaria,C_Ind_Vehiculos,C_Ind_Transporte,C_Ind_Muebles,C_Ind_Manufactura,C_Ind_Agropecuario,C_Ind_Mineria,C_Ind_Desconocido,C_Industrial_Total,ConsumoFinal_Total
2010,"16608,83","2884,83","19493,66","11465,01","1854,18","401,34","16,98","617,23","307,92","87,07","48,01","853,60","121,92","75,39","1260,29","0,00","1136,68","1373,99","2394,82","235,76","24,50","184,74","102,39","115,78","29,37","92,29","156,27","456,86","3243,96","2078,12","17269,46","48228,13"
2011,"16782,86","2844,16","19627,02","11527,49","1883,40","399,30","15,31","615,23","304,21","92,69","54,01","904,73","128,12","108,12","1302,14","0,00","1155,27","1327,76","2789,37","238,18","22,29","196,27","105,51","125,73","29,75","100,71","143,41","457,08","3087,48","2515,23","18101,30","49255,81"
2012,"17088,39","3017,69","20106,08","11737,61","1836,93","436,28","13,78","556,63","275,62","88,24","58,02","871,76","139,37","226,92","1255,32","0,00","1078,41","1386,32","2546,95","257,88","18,55","190,71","95,79","123,22","27,04","97,65","130,40","507,96","3742,51","3584,47","19546,73","51390,42"
2013,"17777,55","3059,14","20836,69","12355,87","1925,27","443,65","0,00","594,15","237,84","88,83","59,39","1130,66","137,95","219,23","1103,12","150,75","1110,25","1420,88","2554,03","224,40","2,34","196,10","88,26","119,20","24,89","98,20","131,98","549,55","3839,98","3881,84","20332,74","53525,30"
2014,"18523,29","3208,76","21732,05","12825,16","1981,55","466,77","0,00","607,39","202,56","88,61","70,94","1165,03","138,92","158,71","1020,09","154,63","1132,70","1444,00","2496,44","217,37","0,87","194,58","85,58","112,15","24,55","95,10","120,55","547,62","3984,45","4472,81","20983,97","55541,18"
2015,"18906,72","3470,24","22376,96","13063,63","2025,78","481,68","0,00","631,32","144,20","100,77","104,96","1008,62","135,84","159,07","919,68","154,88","1131,71","1500,29","2346,76","229,78","0,00","187,90","86,76","113,76","25,80","88,68","143,18","588,73","4153,08","4881,86","21345,09","56785,68"
2016,"19579,51","3110,01","22689,52","13216,98","2088,49","507,63","0,00","646,46","123,01","100,69","125,57","1041,02","137,02","115,35","851,88","159,13","1156,53","1527,25","2297,68","222,95","0,00","186,76","84,26","107,22","25,49","86,03","131,00","597,41","4196,75","4616,72","21132,30","57038,80"
2017,"19780,80","3399,48","23180,28","15895,40","2450,81","570,19","0,00","578,94","159,93","96,44","137,33","833,30","156,98","37,38","1128,05","190,81","1282,72","1527,55","2626,52","258,25","0,00","192,16","77,09","90,06","28,30","85,68","156,96","620,93","4239,97","2149,07","19675,42","58751,10"
2018,"21070,30","3619,91","24690,21","13294,90","2106,96","497,47","0,00","546,58","163,66","86,98","102,64","819,00","139,69","57,77","1025,05","162,79","1141,20","1403,86","2407,51","229,93","0,00","180,11","76,97","90,26","25,17","82,00","138,19","773,11","5310,41","3022,47","20589,79","58574,90"
2019,"21159,30","3635,21","24794,51","16350,80","2482,70","583,24","0,00","602,66","178,73","95,25","114,78","982,54","161,26","38,33","1213,43","198,37","1345,52","1690,52","2772,10","270,57","0,00","204,79","82,04","102,20","32,27","91,74","158,25","838,59","5542,04","2770,48","22552,39","63697,70"
2020,"20786,55","3571,17","24357,72","15307,86","2183,63","526,65","0,00","507,09","145,89","76,34","96,93","897,97","139,44","34,36","1077,27","180,25","1207,30","1602,17","2410,77","241,93","0,00","178,15","69,56","88,94","32,23","76,82","135,58","759,63","4597,45","4887,27","22153,61","61819,19"
