A̱o,CH_Agua,CT_ACPM,CT_Carbon,CT_Combustoleo,CT_Gas,CT_GasNI,CT_JETA1,CT_Mezclas,CT_Querosene,CT_Bagazo,CT_Biogas,CT_Biomasa,CT_RadSol,CT_Total,CE_Viento,CS_Sol,CAyC_Bagazo,CAyC_Biomasa,CAyC_Carbon,CAyC_Gas,CAyC_SIN_Total,CAyC_NoSIN_Total,CAyC_Total,Porcentaje_CAyC_SIN,Generacion_fosiles_Total,Generacion_FNCE_Total,Generacion_SIN_Total,Generacion_Total
2010,"40557,46","480,40","3464,60","0,00","12023,21","0,00","0,00","0,00","2,95","0,00","0,00","0,00","0,00","15971,15","38,57","0,00","204,99","0,00","12,84","2,63","220,45","7778,00","7998,45","2,76%","15986,61","243,56","56787,63","64565,63"
2011,"48431,73","4,69","1632,09","105,03","8088,76","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","9830,57","41,27","0,00","311,36","0,00","4,14","1,36","316,86","7538,00","7854,86","4,03%","9836,07","352,63","58620,43","66158,43"
2012,"47581,71","115,81","2492,62","87,02","9210,96","0,00","0,00","0,00","0,45","0,00","0,00","0,00","0,00","11906,86","54,85","0,00","343,86","0,00","0,00","2,79","346,65","7725,00","8071,65","4,29%","11909,65","398,71","59890,07","67615,07"
2013,"44362,79","225,25","5526,16","127,07","11541,40","0,00","1,54","0,00","2,76","0,00","0,00","0,00","0,00","17424,19","57,62","0,00","348,99","0,00","1,15","3,00","353,14","7625,00","7978,14","4,43%","17428,34","406,61","62197,74","69822,74"
2014,"44741,96","180,25","5630,23","112,81","13007,26","0,00","8,57","104,39","0,13","0,00","0,00","0,00","0,00","19043,64","70,23","0,00","441,71","0,00","28,99","1,33","472,02","8420,00","8892,02","5,31%","19073,95","511,94","64327,85","72747,85"
2015,"44681,90","1042,85","6244,98","490,71","13448,74","0,00","0,00","0,00","44,72","0,00","0,00","0,00","0,00","21272,01","68,38","0,00","513,85","0,00","10,55","1,79","526,19","8474,00","9000,19","5,85%","21284,34","582,23","66548,47","75022,47"
2016,"46798,55","1348,40","5393,38","533,87","11003,54","33,44","0,00","0,00","173,82","0,71","2,34","3,24","0,00","18492,74","50,89","0,00","591,80","0,00","6,74","1,45","599,99","8511,00","9110,99","6,59%","18494,64","642,69","65942,17","74453,17"
2017,"57342,98","12,06","2391,63","50,36","6192,60","27,61","0,00","0,00","0,00","1,61","5,49","0,58","0,00","8681,93","3,07","5,39","625,10","0,00","6,52","2,11","633,73","8420,00","9053,73","7,00%","8682,88","633,56","66667,10","75087,10"
2018,"56651,24","13,55","3681,16","115,24","6958,59","734,50","0,00","0,00","0,00","0,69","3,82","0,00","2,88","11510,44","43,44","9,12","725,33","0,00","6,40","2,27","734,00","9322,00","10056,00","7,30%","11511,72","780,77","68948,23","78270,23"
2019,"54437,00","67,19","7221,56","35,47","7065,02","350,28","0,00","8,36","0,00","1,06","1,30","0,00","16,73","14766,97","63,32","115,33","699,39","0,00","30,86","1,74","731,98","10277,00","11008,98","6,65%","14780,47","894,78","70114,60","80391,60"
2020,"49837,35","13,47","8507,59","17,59","8602,44","1360,19","0,00","0,00","0,00","0,00","1,35","0,00","0,00","18502,64","10,12","190,80","724,44","0,00","57,92","0,30","782,65","10031,00","10813,65","7,24%","18559,50","925,35","69323,56","79354,56"
2021,"20846,98","3,60","2239,15","2,56","2949,96","31,31","0,00","0,00","0,00","0,92","1,45","0,00","0,00","5228,94","26,05","111,03","287,21","0,00","0,00","0,07","287,29",,,,"5226,65","424,29","26500,28","26500,28"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
