Año,PIB_Total,PIB_Agro,PIB_Agro_Cultivos,PIB_Agro_Cafe,PIB_Agro_Ganado,PIB_Agro_Madera,PIB_Agro_Pesca,PIB_Minas,PIB_Minas_Carbon,PIB_Minas_Petroleo,PIB_Minas_Metales,PIB_Minas_Canteras,PIB_Minas_Otros,PIB_Alimentos,PIB_Alimentos_Carne,PIB_Alimentos_Aceite,PIB_Alimentos_Lacteos,PIB_Alimentos_Almidon,PIB_Alimentos_Cafe,PIB_Alimentos_Azucar,PIB_Alimentos_Cacao,PIB_Alimentos_Frutas,PIB_Alimentos_Bebidas,PIB_Textiles,PIB_Textiles_Confeccion,PIB_Textiles_Cuero,PIB_Madera,PIB_Madera_Transformacion,PIB_Madera_Papel,PIB_Madera_Impresion,PIB_Quimica,PIB_Quimica_Refinacion,PIB_Quimica_Otros,PIB_Quimica_Plastico,PIB_Quimica_Minerales,PIB_Metales,PIB_Metales_Basicos,PIB_Metales_Electrico,PIB_Metales_Maquinaria,PIB_Metales_Vehiculos,PIB_Muebles,PIB_Muebles_Colchones,PIB_Muebles_Otros,PIB_Electricidad,PIB_Electricidad_GTD,PIB_Electricidad_Gas,PIB_Agua,PIB_Agua_Tratamiento,PIB_Agua_Residuales,PIB_Agua_Reciclaje,PIB_Edificaciones,PIB_Carreteras,PIB_Civil,PIB_Comercio,PIB_Comercio_Vehiculos,PIB_Comercio_Mantenimiento,PIB_Transporte,PIB_Transporte_Terrestre,PIB_Transporte_Acuatico,PIB_Transporte_Aereo,PIB_Transporte_almacenamiento,PIB_Transporte_Correo,PIB_Alojamiento,PIB_Información,PIB_Financieras,PIB_Inmobiliarias,PIB_Profesionales,PIB_Profesionales_Cientificas,PIB_Profesionales_Servicios,PIB_Administracion,PIB_Educacion,PIB_Educacion_Mercado,PIB_Educacion_NoMercado,PIB_Salud,PIB_Entretenimiento,PIB_Hogar,PIB_Industria_Total,PIB_ComercialyPublico_Total
"2010,00","640151,00","39943,00","22863,00","3415,00","10902,00","1423,00","1354,00","38427,00","7721,00","25403,00","4203,00","1492,00","164,00","23932,00","5217,00","1173,00","2838,00","3908,00","486,00","2104,00","658,00","1983,00","5585,00","9642,00","7967,00","1676,00","5406,00","1052,00","2769,00","1578,00","30822,00","8555,00","10240,00","2476,00","9722,00","13136,00","5320,00","1653,00","4118,00","2082,00","4987,00","1912,00","3092,00","14888,00","12705,00","2145,00","7030,00","2073,00","3828,00","1131,00","22035,00","9751,00","8542,00","51171,00","46676,00","4490,00","32835,00","24131,00","231,00","2884,00","4917,00","741,00","23796,00","18256,00","22312,00","59932,00","45354,00","21757,00","23600,00","31284,00","31079,00","15573,00","15506,00","23573,00","10994,00","4276,00","166295,00","329057,00"
"2011,00","684628,00","40706,00","23482,00","3134,00","11348,00","1494,00","1359,00","43974,00","8857,00","29921,00","3733,00","1581,00","172,00","24803,00","5407,00","1237,00","2947,00","4030,00","453,00","2328,00","662,00","2016,00","5657,00","10422,00","8555,00","1866,00","5541,00","1027,00","2881,00","1627,00","32688,00","8677,00","10686,00","2640,00","10816,00","14287,00","5617,00","1814,00","4310,00","2522,00","5134,00","2068,00","3069,00","15386,00","13046,00","2309,00","7210,00","2128,00","3923,00","1162,00","22711,00","11003,00","8889,00","55266,00","50641,00","4626,00","35146,00","25187,00","234,00","3332,00","5663,00","786,00","24756,00","20153,00","24754,00","61628,00","48568,00","23283,00","25288,00","34831,00","31864,00","16056,00","15809,00","23797,00","11773,00","4423,00","177555,00","349023,00"
"2012,00","711415,00","41725,00","24221,00","3066,00","11652,00","1593,00","1405,00","46335,00","9199,00","31308,00","4432,00","1621,00","186,00","25068,00","5626,00","1250,00","2981,00","3966,00","418,00","2297,00","670,00","2030,00","5804,00","10355,00","8552,00","1803,00","5671,00","1009,00","2989,00","1673,00","32768,00","8332,00","10818,00","2616,00","11112,00","14502,00","5784,00","1718,00","4312,00","2680,00","5259,00","2114,00","3148,00","15748,00","13301,00","2422,00","7338,00","2218,00","3936,00","1185,00","24045,00","11662,00","9413,00","57437,00","52609,00","4829,00","36429,00","25846,00","230,00","3519,00","6055,00","822,00","25686,00","20415,00","26626,00","63579,00","50907,00","24399,00","26511,00","37543,00","33081,00","16568,00","16514,00","24817,00","12139,00","4545,00","181683,00","364113,00"
"2013,00","747939,00","44835,00","25727,00","4167,00","11930,00","1652,00","1424,00","48794,00","8829,00","33967,00","3876,00","1786,00","177,00","25935,00","5646,00","1314,00","3139,00","3918,00","564,00","2411,00","663,00","2143,00","6110,00","10128,00","8428,00","1701,00","5660,00","1032,00","2995,00","1633,00","33774,00","8860,00","11155,00","2626,00","11280,00","14298,00","5573,00","1834,00","4450,00","2431,00","5279,00","2175,00","3103,00","16384,00","13758,00","2608,00","7563,00","2311,00","4031,00","1221,00","26444,00","13177,00","10552,00","60130,00","55024,00","5103,00","37733,00","26271,00","227,00","3899,00","6466,00","864,00","27318,00","22218,00","29160,00","65625,00","53593,00","25690,00","27907,00","39212,00","34420,00","17287,00","17135,00","27055,00","13051,00","4668,00","188703,00","384013,00"
"2014,00","781589,00","46140,00","26164,00","4810,00","11959,00","1759,00","1448,00","48136,00","9099,00","33135,00","3820,00","1990,00","182,00","26660,00","5742,00","1392,00","3177,00","3825,00","631,00","2721,00","704,00","2187,00","6274,00","10303,00","8552,00","1751,00","5782,00","1059,00","3131,00","1603,00","34786,00","8147,00","11255,00","2660,00","12743,00","14852,00","5841,00","1857,00","4547,00","2597,00","5435,00","2204,00","3233,00","17031,00","14207,00","2816,00","7744,00","2366,00","4116,00","1261,00","28294,00","14914,00","11395,00","63124,00","57696,00","5420,00","39278,00","27166,00","232,00","4169,00","6793,00","910,00","28679,00","23654,00","32139,00","67664,00","57500,00","27555,00","29949,00","43522,00","35131,00","17925,00","17207,00","27758,00","13368,00","4844,00","192094,00","405127,00"
"2015,00","804692,00","48124,00","27339,00","5299,00","12265,00","1796,00","1425,00","47627,00","8833,00","32852,00","3592,00","2156,00","194,00","27219,00","5896,00","1506,00","3217,00","3922,00","702,00","2618,00","688,00","2276,00","6394,00","10343,00","8584,00","1759,00","6057,00","1137,00","3219,00","1701,00","35555,00","7761,00","11814,00","2791,00","13189,00","15004,00","5946,00","1920,00","4635,00","2503,00","5611,00","2306,00","3305,00","16842,00","14017,00","2825,00","7757,00","2376,00","4068,00","1313,00","30111,00","15906,00","12025,00","64866,00","59399,00","5467,00","40703,00","27868,00","231,00","4647,00","7055,00","902,00","29860,00","23961,00","34696,00","69825,00","57392,00","27057,00","30335,00","45797,00","36860,00","18575,00","18285,00","29420,00","13991,00","4991,00","195540,00","419416,00"
"2016,00","821489,00","49441,00","28339,00","5489,00","12418,00","1837,00","1358,00","46253,00","10031,00","29705,00","4064,00","2232,00","221,00","27871,00","6033,00","1508,00","3271,00","4237,00","715,00","2381,00","702,00","2329,00","6695,00","10815,00","9004,00","1811,00","6414,00","1161,00","3468,00","1785,00","37081,00","9223,00","12062,00","2866,00","12930,00","15267,00","6172,00","2043,00","4628,00","2424,00","5558,00","2358,00","3200,00","16990,00","14140,00","2850,00","7607,00","2349,00","3969,00","1289,00","31906,00","15492,00","12727,00","67212,00","61637,00","5575,00","40789,00","27602,00","235,00","5016,00","7065,00","871,00","31065,00","23804,00","35726,00","72289,00","55995,00","26369,00","29626,00","47413,00","38468,00","19120,00","19348,00","30317,00","14843,00","5191,00","198700,00","429930,00"
"2017,00","832656,00","52198,00","30612,00","5470,00","12956,00","1856,00","1295,00","43592,00","9996,00","28532,00","2982,00","2175,00","179,00","27924,00","6013,00","1570,00","3301,00","4336,00","736,00","2424,00","723,00","2308,00","6495,00","10510,00","8693,00","1817,00","6404,00","1121,00","3567,00","1722,00","37118,00","9836,00","12032,00","2831,00","12485,00","13725,00","5707,00","1940,00","3793,00","2276,00","5429,00","2348,00","3082,00","17519,00","14635,00","2888,00","7784,00","2370,00","3992,00","1426,00","30260,00","16505,00","12221,00","68291,00","62619,00","5673,00","41621,00","27862,00","241,00","5309,00","7380,00","867,00","31746,00","23758,00","37651,00","74495,00","56810,00","26193,00","30610,00","49286,00","39046,00","19421,00","19625,00","31891,00","15150,00","5306,00","196900,00","441214,00"
"2018,00","854008,00","53030,00","30933,00","5393,00","13400,00","1877,00","1410,00","42868,00","9447,00","29011,00","2574,00","2144,00","181,00","28594,00","6313,00","1494,00","3312,00","4398,00","713,00","2465,00","781,00","2365,00","6746,00","10397,00","8729,00","1653,00","6431,00","1028,00","3707,00","1706,00","37535,00","10282,00","12245,00","2942,00","12078,00","14032,00","5627,00","2041,00","3902,00","2474,00","5586,00","2353,00","3226,00","18004,00","15065,00","2946,00","7944,00","2430,00","4057,00","1462,00","30166,00","16106,00","11979,00","70201,00","64470,00","5730,00","42647,00","28300,00","243,00","5659,00","7645,00","904,00","32589,00","24595,00","39057,00","77449,00","59066,00","27282,00","31777,00","52157,00","40259,00","19733,00","20535,00","33503,00","15476,00","5449,00","198473,00","457745,00"
"2019,00","882029,00","54273,00","31175,00","5963,00","13718,00","1964,00","1446,00","43577,00","9328,00","29827,00","2709,00","2100,00","178,00","29363,00","6619,00","1521,00","3377,00","4589,00","797,00","2438,00","828,00","2357,00","6857,00","10472,00","8892,00","1553,00","6389,00","965,00","3765,00","1671,00","37670,00","10213,00","12497,00","3029,00","11933,00","14291,00","5674,00","2115,00","3987,00","2538,00","5558,00","2398,00","3159,00","18549,00","15513,00","3042,00","8052,00","2521,00","4151,00","1366,00","27641,00","17903,00","11645,00","73006,00","67096,00","5909,00","44122,00","28983,00","248,00","5981,00","8091,00","964,00","33703,00","24854,00","41506,00","79996,00","61096,00","28172,00","32916,00","54353,00","42231,00","20157,00","22106,00","35748,00","18055,00","5608,00","201593,00","478208,00"
"2020,00","821633,70","55799,05","32663,76","5336,77","13944,72","1994,97","1765,85","36738,85","5638,58","26461,89","3307,45","1449,66","150,83","28788,22","6595,36","1566,85","3369,11","4760,92","740,30","2422,40","759,33","2428,27","6155,42","8446,63","7351,40","1043,62","6037,39","904,81","3655,20","1475,14","34917,36","8973,50","12332,99","2825,63","10833,17","12694,87","5295,77","2020,61","3465,70","1853,98","4853,29","1984,10","2853,83","18071,23","15237,20","2852,29","7848,18","2507,26","4128,49","1167,80","20123,99","12732,44","8465,07","70893,61","65877,95","4986,23","34881,76","23847,76","213,87","2743,07","6620,06","1033,75","21294,66","24173,44","42395,13","81555,02","58570,90","27128,08","31437,36","56058,38","42789,09","19815,80","23020,48","34743,27","16537,93","4363,50","188275,65","461223,12"
